DealNumber;DealStatus;AcquirerName;Symbol;RumorDate;WithdrawalDate;Index
1601449054;Withdrawn;BLACKROCK WORLD MINING TRUST PLC;BRWM.L;2013-02-21;2013-03-27;^FTSE
1601478230;Withdrawn;YONG XIN INTERNATIONAL HOLDINGS LTD;CX5.SI;2013-05-23;2014-10-10;^STI
1601481207;Withdrawn;FAIRFAX FINANCIAL HOLDINGS LTD;FFH.TO;2013-06-03;2013-08-07;^GSPTSE
1603003420;Withdrawn;MULPHA INTERNATIONAL BHD;3905.KL;2008-09-19;2008-11-06;^KLSE
1603012936;Withdrawn;NAM TAI ELECTRONICS INC.;NTP;2009-02-20;2009-04-06;^NY
1603013635;Withdrawn;NOBLE GROUP LTD;N21.SI;2009-02-27;2009-05-05;^STI
1603019150;Withdrawn;FREEDOM EYE LTD;FYI.AX;2008-12-18;2009-03-31;^AXJO
1603019151;Withdrawn;FREEDOM EYE LTD;FYI.AX;2008-12-18;2009-03-31;^AXJO
1603022409;Withdrawn;NZX LTD;NZX.NZ;2009-05-08;2009-06-17;^NZ50
1603024095;Withdrawn;KINGBOARD CHEMICAL HOLDINGS LTD;0148.HK;2009-05-22;2009-08-21;^HSI
1603027422;Withdrawn;RUUKKI GROUP OYJ;AFAGR.HE;2009-06-30;2009-10-23;^STOXX50E
1603049091;Withdrawn;GUANGZHOU AUTOMOBILE GROUP CO. LTD;2238.HK;2010-05-18;2010-06-08;^HSI
1603052600;Withdrawn;PRUDENTIAL PLC;PUK;2010-03-01;2010-06-03;^FTSE
1603059232;Withdrawn;CHARLES RIVER LABORATORIES INTERNATIONAL INC.;CRL;2010-04-26;2010-07-29;^NY
1633017305;Withdrawn;TLT LOTTOTAINMENT GROUP LTD;8022.HK;2011-04-28;2011-08-05;^HSI
1633018293;Withdrawn;WHITE ENERGY COMPANY LTD;WEC.AX;2010-12-23;2011-04-12;^AXJO
1633025189;Withdrawn;G-VISION INTERNATIONAL (HOLDINGS) LTD;0657.HK;2011-01-04;2011-03-04;^HSI
1633033751;Withdrawn;EXXARO RESOURCES LTD;EXXAF;2011-05-31;2011-07-05;^GSPC
1633076786;Withdrawn;CHINA BIO CASSAVA HOLDINGS LTD;8129.HK;2012-03-22;2012-05-18;^HSI
1633115550;Withdrawn;INNOPAC HOLDINGS LTD;I26.SI;2013-03-26;2013-07-15;^STI
1647002384;Withdrawn;ALANCO TECHNOLOGIES INC.;ALAN;2011-06-29;2011-09-20;^GSPC
1647006611;Withdrawn;KULIM (MALAYSIA) BHD;2003.KL;2013-07-24;2013-09-05;^KLSE
1907003491;Withdrawn;MYP LTD;F86.SI;2013-07-26;2013-08-28;^STI
1907028161;Withdrawn;BLUMONT GROUP LTD;A33.SI;2014-03-21;2014-04-22;^STI
